date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-18,NI,H,anciens,retrait,1,Secrétariat d'État, auprès du ministre de la cohésion des territoires,immigration,1
2017-07-18,NI,H,nouveaux,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,2
2017-07-18,NI,H,nouveaux,reponse,1,Ministère des armées,anciens combattants et victimes de guerre,1
2017-07-18,NI,H,nouveaux,reponse,2,Ministère des sports,sports,1
2017-07-25,GDR,H,anciens,attente,3,Ministère de l’intérieur,outre-mer,1
2017-07-25,GDR,H,anciens,attente,3,Ministère des armées,défense,1
2017-07-25,GDR,H,anciens,attente,3,Ministère des solidarités et de la santé,santé,1
2017-07-25,GDR,H,anciens,reponse,0,Ministère des solidarités et de la santé,outre-mer,1
2017-07-25,GDR,H,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-25,GDR,H,anciens,reponse,2,Ministère de l’intérieur,transports aériens,1
2017-07-25,GDR,H,nouveaux,attente,3,Ministère de l'Europe et des affaires étrangères,politique extérieure,1
2017-07-25,GDR,H,nouveaux,attente,3,Ministère de la justice,justice,1
2017-07-25,GDR,H,nouveaux,attente,3,Ministère des solidarités et de la santé,politique sociale,1
2017-07-25,GDR,H,nouveaux,attente,3,Ministère du travail,travail,1
2017-07-25,GDR,H,nouveaux,reponse,3,Ministère des solidarités et de la santé,retraites : généralités,1
2017-07-25,LC,F,nouveaux,attente,3,Ministère de l'économie et des finances,immigration,1
2017-07-25,LC,F,nouveaux,attente,3,Ministère de la transition écologique et solidaire,énergie et carburants,1
2017-07-25,LC,F,nouveaux,reponse,2,Ministère de l'agriculture et de l'alimentation,élevage,1
2017-07-25,LC,H,anciens,attente,3,Ministère de l’intérieur,papiers d'identité,1
2017-07-25,LC,H,anciens,attente,3,Ministère de la transition écologique et solidaire,animaux,1
2017-07-25,LC,H,anciens,reponse,1,Ministère de l’intérieur,police,1
2017-07-25,LC,H,anciens,reponse,2,Ministère de l'agriculture et de l'alimentation,enseignement agricole,1
2017-07-25,LC,H,anciens,reponse,2,Ministère des solidarités et de la santé,professions de santé,1
2017-07-25,LC,H,anciens,reponse,2,Ministère des solidarités et de la santé,santé,1
2017-07-25,LC,H,nouveaux,attente,3,Ministère de la transition écologique et solidaire,environnement,1
2017-07-25,LC,H,nouveaux,attente,3,Ministère des solidarités et de la santé,assurance maladie maternité,1
2017-07-25,LC,H,nouveaux,reponse,1,Ministère de l'action et des comptes publics,impôts et taxes,1
2017-07-25,LC,H,nouveaux,reponse,2,Ministère de la cohésion des territoires,Internet,1
2017-07-25,LC,H,nouveaux,reponse,3,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-25,LFI,F,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-25,LFI,F,nouveaux,attente,3,Ministère de l'Europe et des affaires étrangères,politique extérieure,1
2017-07-25,LFI,H,nouveaux,attente,3,Ministère des solidarités et de la santé,assurance maladie maternité,1
2017-07-25,LFI,H,nouveaux,reponse,3,Premier ministre,défense,1
2017-07-25,LR,F,anciens,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-25,LR,F,anciens,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,personnes handicapées,1
2017-07-25,LR,F,anciens,reponse,2,Ministère des solidarités et de la santé,personnes handicapées,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de l'action et des comptes publics,finances publiques,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,enseignement supérieur,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,médecine,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de la transition écologique et solidaire,déchets,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère de la transition écologique et solidaire,environnement,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère des solidarités et de la santé,médecine,1
2017-07-25,LR,F,nouveaux,attente,3,Ministère des solidarités et de la santé,santé,1
2017-07-25,LR,F,nouveaux,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé du numérique,numérique,1
2017-07-25,LR,F,nouveaux,reponse,0,Ministère des solidarités et de la santé,professions de santé,2
2017-07-25,LR,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports aériens,1
2017-07-25,LR,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'action et des comptes publics,agriculture,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'action et des comptes publics,fonction publique de l'État,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'action et des comptes publics,impôts et taxes,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'économie et des finances,droit pénal,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'économie et des finances,impôts et taxes,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'économie et des finances,retraites : généralités,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'éducation nationale,entreprises,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,enseignement supérieur,2
2017-07-25,LR,H,anciens,attente,3,Ministère de l’intérieur,automobiles,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l’intérieur,catastrophes naturelles,2
2017-07-25,LR,H,anciens,attente,3,Ministère de l’intérieur,élections et référendums,1
2017-07-25,LR,H,anciens,attente,3,Ministère de l’intérieur,sécurité des biens et des personnes,1
2017-07-25,LR,H,anciens,attente,3,Ministère de la cohésion des territoires,aménagement du territoire,1
2017-07-25,LR,H,anciens,attente,3,Ministère de la cohésion des territoires,logement,1
2017-07-25,LR,H,anciens,attente,3,Ministère de la justice,justice,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,dépendance,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,enseignement supérieur,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,établissements de santé,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,maladies,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,prestations familiales,1
2017-07-25,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,retraites : généralités,1
2017-07-25,LR,H,anciens,attente,3,Secrétariat d'État, auprès du ministre de l'économie et des finances,papiers d'identité,1
2017-07-25,LR,H,anciens,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,personnes handicapées,1
2017-07-25,LR,H,anciens,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé du numérique,Internet,1
2017-07-25,LR,H,anciens,reponse,1,Ministère de l'économie et des finances,taxe sur la valeur ajoutée,1
2017-07-25,LR,H,anciens,reponse,1,Ministère de l'Europe et des affaires étrangères,ambassades et consulats,1
2017-07-25,LR,H,anciens,reponse,1,Ministère de l’intérieur,crimes, délits et contraventions,1
2017-07-25,LR,H,anciens,reponse,1,Ministère de la transition écologique et solidaire,environnement,1
2017-07-25,LR,H,anciens,reponse,2,Ministère de l'agriculture et de l'alimentation,professions de santé,1
2017-07-25,LR,H,anciens,reponse,3,Ministère des solidarités et de la santé,sang et organes humains,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,aménagement du territoire,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports aériens,1
